Experiment_ID,Dataset,Dataset_Name,Model_Group,Model_Name,Parameter_Set,Accuracy,Precision,Recall,F1_Score,Training_Time,Model_File
D1G1P1,D1,Real,G1,RandomForest,P1,0.835411363,0.792431382,0.835411363,0.781527441,4.399509907,models/D1G1P1_model.pkl
D1G1P2,D1,Real,G1,RandomForest,P2,0.835803033,0.789551964,0.835803033,0.791149837,14.10778642,models/D1G1P2_model.pkl
D1G1P3,D1,Real,G1,RandomForest,P3,0.835803033,0.789609243,0.835803033,0.791163496,21.44764614,models/D1G1P3_model.pkl
D1G1P4,D1,Real,G1,RandomForest,P4,0.836455817,0.791195697,0.836455817,0.790971883,27.68184304,models/D1G1P4_model.pkl
D1G2P1,D1,Real,G2,SVM,P1,0.769132015,0.726942962,0.769132015,0.745713536,16.2734015,models/D1G2P1_model.pkl
D1G2P2,D1,Real,G2,SVM,P2,0.772461214,0.742651816,0.772461214,0.756382372,32.10476923,models/D1G2P2_model.pkl
D1G2P3,D1,Real,G2,SVM,P3,0.792044737,0.736831764,0.792044737,0.753473856,31.67970157,models/D1G2P3_model.pkl
D1G2P4,D1,Real,G2,SVM,P4,0.525121309,0.73287418,0.525121309,0.594784396,18.09138894,models/D1G2P4_model.pkl
D1G3P1,D1,Real,G3,XGBoost,P1,0.83306134,0.79172088,0.83306134,0.771452188,2.077456474,models/D1G3P1_model.pkl
D1G3P2,D1,Real,G3,XGBoost,P2,0.837870183,0.793870231,0.837870183,0.797069692,2.220923424,models/D1G3P2_model.pkl
D1G3P3,D1,Real,G3,XGBoost,P3,0.832865505,0.78540512,0.832865505,0.7946122,4.809936047,models/D1G3P3_model.pkl
D1G3P4,D1,Real,G3,XGBoost,P4,0.82524969,0.77770836,0.82524969,0.792334823,9.362981796,models/D1G3P4_model.pkl
D2G1P1,D2,CTGAN,G1,RandomForest,P1,0.838914638,0.789999473,0.838914638,0.770012845,7.822970629,models/D2G1P1_model.pkl
D2G1P2,D2,CTGAN,G1,RandomForest,P2,0.84045956,0.783492694,0.84045956,0.787028843,24.34857893,models/D2G1P2_model.pkl
D2G1P3,D2,CTGAN,G1,RandomForest,P3,0.840829471,0.784610463,0.840829471,0.787930018,38.66674089,models/D2G1P3_model.pkl
D2G1P4,D2,CTGAN,G1,RandomForest,P4,0.841177623,0.78600912,0.841177623,0.787036163,50.80473495,models/D2G1P4_model.pkl
D2G2P1,D2,CTGAN,G2,SVM,P1,0.761733795,0.728201259,0.761733795,0.741489918,16.86860132,models/D2G2P1_model.pkl
D2G2P2,D2,CTGAN,G2,SVM,P2,0.815523206,0.737683852,0.815523206,0.764391466,32.83905602,models/D2G2P2_model.pkl
D2G2P3,D2,CTGAN,G2,SVM,P3,0.621276411,0.725900123,0.621276411,0.663914293,32.39296651,models/D2G2P3_model.pkl
D2G2P4,D2,CTGAN,G2,SVM,P4,0.50122941,0.756098509,0.50122941,0.594239586,20.95299196,models/D2G2P4_model.pkl
D2G3P1,D2,CTGAN,G3,XGBoost,P1,0.837304437,0.70107872,0.837304437,0.763160101,0.894335747,models/D2G3P1_model.pkl
D2G3P2,D2,CTGAN,G3,XGBoost,P2,0.842657267,0.789210174,0.842657267,0.794357745,2.558204651,models/D2G3P2_model.pkl
D2G3P3,D2,CTGAN,G3,XGBoost,P3,0.841438736,0.787134571,0.841438736,0.79797382,5.24677825,models/D2G3P3_model.pkl
D2G3P4,D2,CTGAN,G3,XGBoost,P4,0.83636878,0.78038878,0.83636878,0.796462116,11.24463081,models/D2G3P4_model.pkl
D3G1P1,D3,VAE,G1,RandomForest,P1,0.799181844,0.761494008,0.799181844,0.741780078,8.203421831,models/D3G1P1_model.pkl
D3G1P2,D3,VAE,G1,RandomForest,P2,0.815588485,0.783536507,0.815588485,0.785811053,25.9289608,models/D3G1P2_model.pkl
D3G1P3,D3,VAE,G1,RandomForest,P3,0.815958396,0.784370779,0.815958396,0.785871617,40.60175276,models/D3G1P3_model.pkl
D3G1P4,D3,VAE,G1,RandomForest,P4,0.815849599,0.783535168,0.815849599,0.784103872,52.08622074,models/D3G1P4_model.pkl
D3G2P1,D3,VAE,G2,SVM,P1,0.61020084,0.674501016,0.61020084,0.636237268,17.87812114,models/D3G2P1_model.pkl
D3G2P2,D3,VAE,G2,SVM,P2,0.622843092,0.679241479,0.622843092,0.646919449,35.515064,models/D3G2P2_model.pkl
D3G2P3,D3,VAE,G2,SVM,P3,0.629980199,0.635536008,0.629980199,0.628165985,34.07983804,models/D3G2P3_model.pkl
D3G2P4,D3,VAE,G2,SVM,P4,0.436342668,0.625398753,0.436342668,0.498984163,20.72043085,models/D3G2P4_model.pkl
D3G3P1,D3,VAE,G3,XGBoost,P1,0.779924712,0.744963401,0.779924712,0.705751666,0.893716335,models/D3G3P1_model.pkl
D3G3P2,D3,VAE,G3,XGBoost,P2,0.8141306,0.783055088,0.8141306,0.784053067,2.441819906,models/D3G3P2_model.pkl
D3G3P3,D3,VAE,G3,XGBoost,P3,0.823922362,0.801284621,0.823922362,0.806754267,5.459843874,models/D3G3P3_model.pkl
D3G3P4,D3,VAE,G3,XGBoost,P4,0.818177862,0.797500834,0.818177862,0.804454073,11.54080772,models/D3G3P4_model.pkl
